1	2	3	4	5	6	7	8	9	10	11
2019-11-07	"1,177.75"	"1,137.25"	"1,168.80"	"1,146.20"	"1,171.39"	"1,145.05"	"1,157.50"	-2.60	3.60500	1.0000
2019-11-06	"1,180.40"	"1,139.80"	"1,171.40"	"1,148.80"	"1,174.02"	"1,147.64"	"1,160.10"	-0.30	3.61988	1.0000
2019-11-05	"1,180.70"	"1,140.10"	"1,171.70"	"1,149.10"	"1,174.32"	"1,147.94"	"1,160.40"	-7.20	3.62100	1.0000
2019-11-04	"1,188.03"	"1,147.17"	"1,179.00"	"1,156.20"	"1,181.61"	"1,155.03"	"1,167.60"	5.90	3.62425	1.0000
2019-11-01	"1,182.02"	"1,141.38"	"1,173.00"	"1,150.40"	"1,175.64"	"1,149.23"	"1,161.70"	-6.70	3.63488	1.0000
2019-10-31	"1,188.84"	"1,147.96"	"1,179.80"	"1,157.00"	"1,182.42"	"1,155.83"	"1,168.40"	1.90	3.63138	1.0000
2019-10-30	"1,186.91"	"1,146.09"	"1,177.90"	"1,155.10"	"1,180.49"	"1,153.93"	"1,166.50"	-3.10	3.63588	1.0000
2019-10-29	"1,190.06"	"1,149.14"	"1,181.00"	"1,158.20"	"1,183.63"	"1,157.02"	"1,169.60"	-4.60	3.64963	1.0000
2019-10-28	"1,194.74"	"1,153.66"	"1,185.70"	"1,162.70"	"1,188.29"	"1,161.51"	"1,174.20"	3.20	3.65488	1.0000
2019-10-25	"1,191.49"	"1,150.51"	"1,182.40"	"1,159.60"	"1,185.05"	"1,158.42"	"1,171.00"	-2.70	3.65425	1.0000
2019-10-24	"1,194.23"	"1,153.17"	"1,185.20"	"1,162.20"	"1,187.78"	"1,161.01"	"1,173.70"	2.30	3.67275	1.0000
2019-10-23	"1,191.89"	"1,150.91"	"1,182.80"	"1,160.00"	"1,185.45"	"1,158.81"	"1,171.40"	-4.00	3.67175	1.0000
2019-10-22	"1,195.96"	"1,154.84"	"1,186.90"	"1,163.90"	"1,189.50"	"1,162.71"	"1,175.40"	-5.10	3.67300	1.0000
2019-10-21	"1,201.15"	"1,159.85"	"1,192.00"	"1,169.00"	"1,194.66"	"1,167.79"	"1,180.50"	-6.10	3.70025	1.0000
2019-10-18	"1,207.36"	"1,165.84"	"1,198.20"	"1,175.00"	"1,200.83"	"1,173.79"	"1,186.60"	-0.40	3.69638	1.0000
2019-10-17	"1,207.77"	"1,166.23"	"1,198.60"	"1,175.40"	"1,201.24"	"1,174.18"	"1,187.00"	2.90	3.72750	1.0000
2019-10-16	"1,204.82"	"1,163.38"	"1,195.70"	"1,172.50"	"1,198.30"	"1,171.28"	"1,184.10"	0.40	3.73913	1.0000
2019-10-15	"1,204.41"	"1,162.99"	"1,195.30"	"1,172.10"	"1,197.90"	"1,170.88"	"1,183.70"	-5.60	3.74075	1.0000
2019-10-14	"1,210.11"	"1,168.49"	"1,200.90"	"1,177.70"	"1,203.57"	"1,176.46"	"1,189.30"	-6.80	3.76350	1.0000
2019-10-11	"1,217.03"	"1,175.17"	"1,207.80"	"1,184.40"	"1,210.45"	"1,183.15"	"1,196.10"	1.40	3.77125	1.0000
2019-10-10	"1,215.60"	"1,173.80"	"1,206.40"	"1,183.00"	"1,209.03"	"1,181.75"	"1,194.70"	-1.80	3.77738	1.0000
2019-10-08	"1,217.43"	"1,175.57"	"1,208.20"	"1,184.80"	"1,210.85"	"1,183.55"	"1,196.50"	-0.50	3.79025	1.0000
2019-10-07	"1,217.94"	"1,176.06"	"1,208.70"	"1,185.30"	"1,211.36"	"1,184.03"	"1,197.00"	-6.70	3.82800	1.0000
2019-10-04	"1,224.76"	"1,182.64"	"1,215.40"	"1,192.00"	"1,218.14"	"1,190.72"	"1,203.70"	5.50	3.83950	1.0000
2019-10-02	"1,219.16"	"1,177.24"	"1,209.90"	"1,186.50"	"1,212.57"	"1,185.22"	"1,198.20"	-1.00	3.86088	1.0000
2019-10-01	"1,220.18"	"1,178.22"	"1,210.90"	"1,187.50"	"1,213.59"	"1,186.22"	"1,199.20"	-2.10	3.86563	1.0000
2019-09-30	"1,222.32"	"1,180.28"	"1,213.00"	"1,189.60"	"1,215.71"	"1,188.31"	"1,201.30"	2.20	3.88150	1.0000
2019-09-27	"1,220.08"	"1,178.12"	"1,210.80"	"1,187.40"	"1,213.48"	"1,186.11"	"1,199.10"	0.80	3.89350	1.0000
2019-09-26	"1,219.27"	"1,177.33"	"1,210.00"	"1,186.60"	"1,212.67"	"1,185.31"	"1,198.30"	4.30	3.90363	1.0000
